environment,replication,RAC_HRP,HRP_static,HRP_periodic_3,EW,ERC
A_iid_gaussian,102,-0.8604930032531287,-0.7744825841175091,-0.7392847822377435,-0.5668524584998883,-0.6117792871121358
A_iid_gaussian,103,-0.7953590534818316,-0.7499359631585697,-0.8412098750607262,-0.6074825456239417,-0.7450630585743907
A_iid_gaussian,104,-0.3939827148750908,-0.4396117025548886,-0.47494346443102575,-0.48885273134449725,-0.4278435656782095
A_iid_gaussian,105,0.29165423018645625,0.2846129908020273,0.3116602088456529,0.3727509228235247,0.3923659856269219
A_iid_gaussian,106,-0.5908073398201825,-0.6924309979905624,-0.6728788775440316,-0.6360376062051412,-0.7481006617476733
A_iid_gaussian,107,-1.166851781875569,-1.2117511499540665,-1.146625184561674,-1.2558122727229788,-1.0931616066490806
A_iid_gaussian,108,-0.7144530460306852,-0.7516610484305553,-0.7417097439058252,-0.6554625877330527,-0.6610369243943114
A_iid_gaussian,109,-0.4614076682628024,-0.4763139563923519,-0.4602366155537105,-0.519116557262426,-0.40808740666004906
A_iid_gaussian,110,0.08768663326213004,0.1299681875056423,0.13730045385473347,0.2721425270243389,0.2255571919453259
A_iid_gaussian,111,-0.30191644719955973,-0.3398078301040338,-0.25943008832899234,-0.274398152333091,-0.2597972854023797
A_iid_gaussian,112,-1.4603757152878425,-1.3844631692800933,-1.4560931460048576,-1.1768660638252981,-1.28451766391939
A_iid_gaussian,113,-0.2105644390509215,-0.1687007053442498,-0.22366329299413376,0.025591675172799557,-0.0318435176340417
A_iid_gaussian,114,-0.4256386224615655,-0.48474980126993755,-0.4773758564382121,-0.3177412831584474,-0.43975291050812043
A_iid_gaussian,115,0.0595123954949204,0.03215534096022985,0.06336110050320193,0.10729935473578626,0.030372152310493724
A_iid_gaussian,116,-0.9852802363099779,-0.9522420783607826,-0.9422396883717714,-0.8807369290520275,-1.0275099635867675
A_iid_gaussian,117,-0.0378218341774912,-0.05768960986566687,-0.06610156891430317,-0.1638115424329631,-0.05437883621504535
A_iid_gaussian,118,-0.39007508152025794,-0.5586880363284686,-0.491404404306976,-0.4921893244047963,-0.5499235088452865
A_iid_gaussian,119,-0.29883968936905747,-0.37440988517746276,-0.3159156958759965,-0.4067255299408064,-0.28016625265544987
A_iid_gaussian,120,-1.0305987079438124,-1.047943455047278,-1.050711570800881,-0.9011023605912204,-0.8600696409101289
A_iid_gaussian,121,-0.6909743348014288,-0.7427799351025504,-0.7265716843832483,-0.5765790587562564,-0.6652335950303742
A_iid_gaussian,122,-0.6220246460749884,-0.5808193302769692,-0.6050141092611416,-0.6176373208656043,-0.6480718963604246
A_iid_gaussian,123,0.7540065615009836,0.746633896370093,0.7742816278272043,0.6275451547904383,0.688325344629495
A_iid_gaussian,124,-0.7722917764783496,-0.6788818601546948,-0.5892668894509883,-0.6165878383952085,-0.6924675871228687
A_iid_gaussian,125,-0.8511412190521171,-0.8610240597290582,-0.8698061608592721,-0.6343414378157483,-0.7347943059037076
A_iid_gaussian,126,0.13080519722236164,0.16739445949507198,0.14805783998977676,0.13573020778220363,0.27902062191345967
A_iid_gaussian,127,-0.5413865463236732,-0.5223185988068749,-0.5321818253373359,-0.5021398191443065,-0.5744028696552403
A_iid_gaussian,128,-0.4326060881707235,-0.4588410737096407,-0.4341935312321535,-0.3662352078065367,-0.3955790823495922
A_iid_gaussian,129,-0.47021945746546345,-0.370949626221442,-0.4675898494642981,-0.45088803704154623,-0.40215734017333604
A_iid_gaussian,130,-0.6542699343576924,-0.5905444197554347,-0.7200351824988277,-0.47476448968933177,-0.6192803332670411
A_iid_gaussian,131,0.4566396474286121,0.49621694535724137,0.44767588172442124,0.47016125411307474,0.5697445451215271
A_iid_gaussian,132,-0.27544778209071386,-0.28786757392685763,-0.2813904369259009,-0.3105891159768522,-0.31119354074135946
A_iid_gaussian,133,-0.5999425771355875,-0.7055120616466307,-0.5877427130480584,-0.7717702754177665,-0.74044531159094
A_iid_gaussian,134,-0.4446943494276616,-0.5278339503677802,-0.5250186715363108,-0.47292246340376415,-0.40982209020334526
A_iid_gaussian,135,-0.10221288660707843,-0.11164840358731863,-0.19742449002193344,0.1148769014086597,0.09128303092254313
A_iid_gaussian,136,-0.578195262150918,-0.6306297175574482,-0.5542255500482601,-0.8062760001314274,-0.6998878296376503
A_iid_gaussian,137,0.10281804795716293,0.08151263396314265,0.1406506199486303,0.4424654156291139,0.14844716036372207
A_iid_gaussian,138,-0.05353675498717977,-0.09587527123524729,-0.013156885498639132,-0.05985653880127224,0.0038755189285702147
A_iid_gaussian,139,-0.877002262958367,-0.728849887426858,-0.8265338465955966,-0.5956882470875589,-0.5715940127963389
A_iid_gaussian,140,-0.9523979181143208,-0.9626442625315551,-0.9079665347067857,-0.9035516053434228,-0.948424307131581
A_iid_gaussian,141,-0.04460482857681873,-0.1113925231678114,-0.1149939599480129,-0.35083937843400964,-0.1694599896125423
A_iid_gaussian,142,-0.8552096116866279,-0.7769194935417418,-0.8797173389078683,-0.6978188681588421,-0.7236765763742752
A_iid_gaussian,143,-0.4845712666490999,-0.4072172787997863,-0.4558326486110619,-0.30487579430962086,-0.3566759868444109
A_iid_gaussian,144,-0.3228037524673504,-0.30847694081525356,-0.3528033220724488,-0.05273199566468899,-0.19157368192652904
A_iid_gaussian,145,-1.003450786417358,-1.0511679206282436,-1.0478472557073526,-0.7763570949821971,-0.9116047144105559
A_iid_gaussian,146,-0.33799336990050355,-0.3803526052024455,-0.36499533385203675,-0.39451118925718726,-0.3381141135423275
